repository_relative_path,original_absolute_path,source_package,source_phase,source_sha256,imported_sha256,semantic_role,verification_status,corresponding_git_commit,corresponding_git_tag
src/banknifty_profiler/raw_io/reader.py,/opt/banknifty/research/vpoc_oi_price_response_v2/clean_combined_profiler_r6a_raw_equivalence/locked_engine/raw_io.py,R6A,R6A,0fc37ea41465b2dce2595b3a299d6565c100444ab3b1bbdf46300666c093c6ed,0fc37ea41465b2dce2595b3a299d6565c100444ab3b1bbdf46300666c093c6ed,raw receipt parser,EXACT_COPY,a8e3394,r6a-raw-divergence-equivalent
src/banknifty_profiler/divergence/detector.py,/opt/banknifty/research/vpoc_oi_price_response_v2/clean_combined_profiler_r6a_raw_equivalence/locked_engine/divergence_detector.py,R6A,R6A,61a8068f446ebbe5e8945cb556e48abe0a248894c9149791ba87f4cfc72fca4c,61a8068f446ebbe5e8945cb556e48abe0a248894c9149791ba87f4cfc72fca4c,frozen divergence detector,EXACT_COPY,a8e3394,r6a-raw-divergence-equivalent
src/banknifty_profiler/participation/engine.py,/opt/banknifty/research/vpoc_oi_price_response_v2/clean_combined_profiler_r6a_raw_equivalence/locked_engine/participation_engine.py,R6A,R6A,678dafb684343d1acee1acfbce0109ce22494098d203937aaad3b352efe834b1,678dafb684343d1acee1acfbce0109ce22494098d203937aaad3b352efe834b1,descriptive participation primitive,EXACT_COPY,a8e3394,r6a-raw-divergence-equivalent
src/banknifty_profiler/inventory/engine.py,/opt/banknifty/research/vpoc_oi_price_response_v2/inventory_canonical_revision_2_bn_reference/src/build_inventory_v2.py,Inventory Canonical Revision 2,R6B1R2,856ac89f260adfff8589d152fe0fbcbcc63c86b274a198575657f922f838a228,856ac89f260adfff8589d152fe0fbcbcc63c86b274a198575657f922f838a228,canonical BN-reference inventory,EXACT_COPY,ec339ef,r6b1r2-bn-reference-inventory
src/banknifty_profiler/inventory/oi_profiles.py,/opt/banknifty/research/vpoc_oi_price_response_v2/inventory_canonical_revision_2_bn_reference/locked_primitives/oi_profiles.py,Inventory Canonical Revision 2,R6B1R2,5deadd875ef3913c486bd70b456f518925a8b3e20143695eafb18efec2bb3b8b,5deadd875ef3913c486bd70b456f518925a8b3e20143695eafb18efec2bb3b8b,OI profile primitive,EXACT_COPY,ec339ef,r6b1r2-bn-reference-inventory
docs/methodology/inventory_bn_reference.md,/opt/banknifty/research/vpoc_oi_price_response_v2/inventory_canonical_revision_2_bn_reference/INVENTORY_V2_BN_REFERENCE_METHODOLOGY.md,Inventory Canonical Revision 2,R6B1R2,99e0eea2873c8f43fc5cc714d19d1aef3c8a389ae8be733b77ee20662f8f9039,99e0eea2873c8f43fc5cc714d19d1aef3c8a389ae8be733b77ee20662f8f9039,methodology,EXACT_COPY,ec339ef,r6b1r2-bn-reference-inventory
docs/causality/lifecycle_clock_adjudication.md,/opt/banknifty/research/vpoc_oi_price_response_v2/r6b2a_lifecycle_resolution_adjudication/R6B2A_CLOCK_SEMANTICS.md,R6B2A,R6B2A,8671a209dba21e9f09afe7c48fcca591154bf575b3ab8bdf3f7038204cccdca5,8671a209dba21e9f09afe7c48fcca591154bf575b3ab8bdf3f7038204cccdca5,clock adjudication,EXACT_COPY,fbdc138,r6b2a-lifecycle-adjudication
docs/methodology/resolution_mechanism_adjudication.md,/opt/banknifty/research/vpoc_oi_price_response_v2/r6b2a_lifecycle_resolution_adjudication/R6B2A_RESOLUTION_MECHANISM_AUDIT.md,R6B2A,R6B2A,1167b12863e4e7620d09f2229a04d47d8bd4a04d2a8a6992924e0893819df4e8,1167b12863e4e7620d09f2229a04d47d8bd4a04d2a8a6992924e0893819df4e8,mechanism adjudication,EXACT_COPY,fbdc138,r6b2a-lifecycle-adjudication
docs/causality/r6b2r_clock_contract.md,/opt/banknifty/research/vpoc_oi_price_response_v2/clean_combined_profiler_r6b2r_raw_lifecycle/R6B2R_CLOCK_CONTRACT.md,R6B2R,R6B2R,6c6e89b4b7667d0106e42e91014d16e99f0e17419202ad8158e1128586670404,6c6e89b4b7667d0106e42e91014d16e99f0e17419202ad8158e1128586670404,verified clock contract,EXACT_COPY,9147b40,r6b2r-lifecycle-equivalent
src/banknifty_profiler/lifecycle/engine.py,/opt/banknifty/research/vpoc_oi_price_response_v2/clean_combined_profiler_r6b2r_raw_lifecycle/src/run_raw_lifecycle.py,R6B2R,R6B2R,7a266fd342746449d6f4e323cba4c81e49795fb0dbb590a1d4a7262eeb03b7de,15bb3a569592f5769fbf783432ab7fd077cb66437686627c457c5fc57de8601d,dependency-free refactor of verified resolution primitives,REFORMATTED_OR_REFACTORED_WITH_TESTS,9147b40,r6b2r-lifecycle-equivalent
tests/fixtures/frozen_counts.json,/opt/banknifty/research/vpoc_oi_price_response_v2/clean_combined_profiler_r6b2r_raw_lifecycle/runs/stream/summary.json,R6B2R,R6B2R,9337b22fa5ca5de9fc453682bc5470ec8c3b70595de2f5b319378bf79c64323d,f66574a1939602cb5f0755aaf294d4eb98efac86414473c96186cbd067f2bec7,small golden count fixture,REFORMATTED_OR_REFACTORED_WITH_TESTS,d594b8b,
